Snum,Title,Location,Date,Fatalities,Injured,Total victims,Mental Health Issues,Race,Gender,Latitude,Longitude
364,New Orleans Downtown Post Office,"New Orleans, Louisiana",12/14/1988,0,4,4,Unknown,Unknown,Male,30.0687242,-89.93147412
365,Oakland Elementary School,"Greenwood, South Carolina",9/26/1988,2,9,11,Yes,White American or European American,Male,34.1928952,-82.15355508
366,Comet Auto Parts and Montefiore School,"Chicago, Illinois",9/22/1988,5,2,6,No,Black American or African American,Male,41.83928045,-87.68818145
367,Hubbard Woods Elementary School,"Winnetka, Illinois",5/20/1988,2,7,8,Yes,White American or European American,Female,42.10648807,-87.74211141
368,ESL shooting,"Sunnyvale, California",2/16/1988,7,4,11,Yes,White,Male,37.3688301,-122.0363496
369,Electromagnetic Systems Laboratory (ESL),"Sunnyvale, California",2/16/1988,7,4,11,Yes,White American or European American,Male,37.38344257,-122.0256185
370,Pinellas Park High School,"Pinellas Park, Florida",2/11/1988,1,2,3,No,White American or European American,Male,27.84887061,-82.71058
371,Shopping centers spree killings,"Palm Bay, Florida",4/23/1987,6,14,20,Yes,White,Male,28.0331886,-80.6429695
372,Palm Bay Shopping Centers,"Palm Bay, Florida",4/23/1987,6,14,20,Yes,White American or European American,Male,27.98388983,-80.66662713
373,Fergus County High School,"Lewistown, Montana",12/4/1986,1,3,4,Yes,White American or European American,Male,47.03740653,-109.4844918
374,United States Postal Service shooting,"Edmond, Oklahoma",8/20/1986,15,6,21,Unclear,White,Male,35.6672015,-97.42937037
375,"Post office in Edmond, Oklahoma","Edmond, Oklahoma",8/20/1986,15,6,20,Yes,White American or European American,Male,35.66889223,-97.41438792
376,New York Technical College,"Brooklyn, New York",8/12/1986,1,4,5,Yes,Black American or African American,Male,40.679276,-73.939513
377,Atlanta Post Office,"Atlanta, Georgia",3/6/1985,2,1,3,Yes,Black American or African American,Male,33.7629969,-84.4231328
378,Goddard Junior High School,"Goddard, Kansas",1/21/1985,1,3,4,Yes,White American or European American,Male,37.67129418,-97.55070476
379,San Ysidro McDonald's massacre,"San Ysidro, California",7/18/1984,22,19,41,Yes,White,Male,32.5520013,-117.0430813
380,McDonald's restaurant in San Ysidro,"San Ysidro, California",7/18/1984,22,19,40,Yes,White American or European American,Male,32.555556,-117.047656
381,Dallas nightclub shooting,"Dallas, Texas",6/29/1984,6,1,7,Yes,White,Male,32.7801052,-96.8000082
382,Ianni's Club in Dallas,"Dallas, Texas",6/29/1984,6,1,7,Yes,White American or European American,Male,32.79480596,-96.76631094
383,49th Street Elementary School,"Los Angeles, California",2/24/1984,3,12,14,Yes,Black American or African American,Male,34.17622092,-118.5399542
384,Johnston Post Office,"Johnston, South Carolina",8/19/1983,1,3,4,Yes,White American or European American,Male,33.83272887,-81.8051584
385,Wah Mee Club in Seattle,"Seattle, Washington",2/18/1983,13,1,14,Unknown,Asian American,Male,47.62199575,-122.323646
386,Welding shop shooting,"Miami, Florida",8/20/1982,8,3,11,Yes,White,Male,25.796491,-80.226683
